_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000001832,0.001136292,0.000544105,0.534613132,0.416711211,0.404459536,0.000030104,0.000000534,0.000001011,0.010495657,0.001532401,0.012829974,0.009238654,0.015492843,0.232217818,0.236117736,0.010098936,0.413015574,0.427976102,0.120753907,0.051173232,0.041685794,0.173091292,0.000061329,0.001532611,0.237852037,0.001723812,0.150482789,0.003314834,0.000805665,0.000067646,0.000088664,0.005063142,0.015777370,0.002486545,0.003459665,0.010273231,0.002636159,0.557030201,0.000332036,0.061601821,0.037327703,0.006732976,0.001516167,0.000006863,0.000002519,0.000164395,0.000201643,0.000016179,0.000007670,0.000000880,0.000000178
0.000002032,0.003353649,0.002158555,0.338425338,0.238478318,0.265682548,0.000045963,0.000000413,0.000001193,0.009259970,0.001012824,0.010663694,0.007651560,0.014115703,0.254683435,0.259475470,0.006648210,0.434132129,0.449601978,0.116537280,0.048486266,0.043742057,0.179655418,0.000085976,0.001177810,0.309982061,0.003436144,0.118631862,0.004853535,0.002093459,0.000078322,0.000076670,0.003790006,0.011875213,0.005029500,0.007071840,0.029814955,0.007902468,0.123546362,0.000197261,0.035728332,0.033785891,0.005724702,0.001031267,0.000033999,0.000012211,0.000450578,0.000189779,0.000039814,0.000017566,0.000000813,0.000000240
0.000002272,0.001106638,0.000431581,0.467662454,0.379884690,0.435897171,0.000089416,0.000000567,0.000001175,0.010662663,0.000947732,0.007353222,0.005418181,0.015822779,0.247297943,0.253826290,0.006555771,0.521611214,0.527464628,0.162109375,0.045217767,0.033839710,0.186296046,0.000205086,0.000368042,0.286308318,0.004905008,0.084414557,0.008269826,0.003251865,0.000134734,0.000131414,0.003142150,0.003549480,0.013400834,0.023058251,0.095345512,0.019684516,0.013726902,0.000312760,0.018374598,0.016635885,0.003158238,0.001285754,0.000557040,0.000253550,0.001404267,0.000609055,0.000190367,0.000101502,0.000000933,0.000000308
0.000001874,0.003512570,0.001477126,0.317328990,0.216559201,0.314335287,0.000104007,0.000000462,0.000001444,0.008062457,0.000709324,0.016290331,0.012947318,0.012949854,0.264065057,0.281588823,0.005753056,0.325577259,0.340507388,0.093578696,0.030573571,0.040651660,0.245981708,0.000172634,0.000687488,0.345467031,0.004453623,0.054938417,0.010105097,0.005333190,0.000403660,0.000334465,0.001498061,0.004156175,0.015327599,0.021308880,0.125688121,0.036092427,0.004969665,0.000133973,0.023335911,0.018880809,0.004925179,0.001428189,0.000693675,0.000308838,0.002961393,0.000522133,0.000156406,0.000087198,0.000000793,0.000000439
0.000002655,0.011978784,0.007595820,0.127961397,0.116844140,0.166022345,0.000110858,0.000000435,0.000001920,0.012373763,0.001178637,0.032777999,0.027879948,0.011577577,0.284686893,0.320871621,0.004348536,0.180115417,0.199030966,0.108135626,0.032955799,0.028432839,0.167035982,0.000132553,0.000797898,0.305588305,0.002537120,0.025708796,0.022867508,0.002875380,0.000703593,0.000768575,0.001087843,0.004371848,0.009745033,0.017437393,0.180316791,0.031339653,0.001928824,0.000078992,0.028013686,0.026014075,0.007123836,0.004516277,0.001224525,0.000491730,0.003101134,0.000987999,0.000667457,0.000288412,0.000001034,0.000000922
0.000002907,0.006311812,0.004368911,0.256129086,0.153365895,0.189439937,0.000200680,0.000000566,0.000002720,0.005849446,0.000583058,0.055737812,0.045972586,0.013276022,0.253048539,0.270007133,0.005930437,0.117212273,0.134136379,0.042804629,0.016745778,0.053038444,0.276404053,0.000235820,0.001279732,0.331109524,0.001212104,0.012493098,0.031500529,0.003953478,0.002006412,0.002118713,0.000915141,0.006130781,0.021364814,0.028207697,0.224222913,0.054895326,0.000397140,0.000036206,0.016919710,0.021193322,0.004863815,0.011629301,0.010303729,0.004915978,0.011922626,0.002914770,0.004655649,0.002646168,0.000001401,0.000001596
0.000005096,0.008739248,0.004455525,0.207332209,0.123377159,0.203562364,0.000189731,0.000000922,0.000002941,0.011758556,0.000865786,0.071478359,0.061380800,0.010963096,0.239552259,0.242057115,0.009028393,0.097126156,0.111608103,0.091548488,0.019177178,0.028967068,0.220113754,0.000163549,0.000845183,0.304432780,0.001383216,0.010396706,0.036341645,0.001524671,0.002421547,0.003530336,0.001301331,0.005551860,0.012767298,0.021262743,0.149900019,0.024000600,0.000698343,0.000042813,0.019148145,0.017033169,0.012275096,0.048067961,0.005411110,0.002696872,0.005530182,0.004706033,0.028985750,0.016446525,0.000001676,0.000002540
0.000002766,0.009188677,0.004017279,0.231074035,0.138430640,0.223269731,0.000260638,0.000000614,0.000002361,0.006505415,0.000762657,0.065250561,0.064906359,0.017179977,0.219276041,0.227105916,0.007380242,0.096289948,0.108702935,0.048783608,0.009704727,0.053508002,0.244146183,0.000319117,0.000768972,0.384012431,0.001725802,0.007173832,0.037819371,0.005354139,0.000606772,0.000843056,0.002849984,0.002795503,0.042633839,0.059376679,0.124556586,0.053090483,0.000733419,0.000095911,0.005670145,0.010208183,0.002252689,0.026145378,0.025742849,0.022201259,0.005501423,0.008596491,0.036240101,0.031269375,0.000002467,0.000001883
0.000002573,0.007136486,0.003726388,0.232980102,0.173410922,0.208047897,0.000175158,0.000001052,0.000002222,0.006515977,0.000600713,0.085769854,0.084004842,0.019928716,0.182197347,0.182939813,0.009598898,0.074855700,0.089198940,0.050826043,0.012056245,0.047248371,0.335261852,0.000185067,0.001007409,0.359383255,0.001512818,0.005695548,0.026851662,0.002119320,0.001635760,0.002184575,0.003006795,0.001451012,0.029013213,0.057857856,0.096229777,0.014676048,0.002345936,0.000207212,0.010160088,0.006276956,0.007394270,0.059570774,0.004878243,0.002739047,0.004064787,0.003460454,0.052864004,0.039569858,0.000002589,0.000001953
0.000002166,0.005519357,0.004347873,0.235878736,0.200729966,0.198881820,0.000179881,0.000000782,0.000001594,0.005688382,0.000751140,0.072024345,0.070864864,0.017866064,0.182033047,0.190571889,0.010343347,0.085889414,0.100254208,0.049718942,0.011759321,0.057897069,0.255872011,0.000177336,0.001112298,0.352040470,0.001549134,0.007084222,0.023860322,0.006494989,0.000601356,0.000676915,0.003187087,0.001364972,0.029823570,0.046319753,0.085329928,0.023238618,0.002791393,0.000330092,0.011030594,0.005871092,0.006829825,0.048852216,0.005087640,0.003561089,0.002440559,0.001607034,0.026489021,0.024698297,0.000001967,0.000001393
